block,style,default_uid,style_uid,word_index,word,phone_index,phone,default_start,default_end,style_start,style_end,default_duration,style_duration,log_duration_ratio,phone_class,default_relative_db,default_f0,default_asr_3408,default_internal_asr_3408,default_emotion_3408,default_internal_emotion_3408,default_intent_3408_last,default_internal_intent_3408_last,default_speaker_count_3408_last,default_internal_speaker_count_3408_last,default_emotion_3407,default_internal_emotion_3407,default_emotion_3409,default_internal_emotion_3409,style_relative_db,style_f0,style_asr_3408,style_internal_asr_3408,style_emotion_3408,style_internal_emotion_3408,style_intent_3408_last,style_internal_intent_3408_last,style_speaker_count_3408_last,style_internal_speaker_count_3408_last,style_emotion_3407,style_internal_emotion_3407,style_emotion_3409,style_internal_emotion_3409
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,2,myself,1,AY2,1.24,1.35,1.21,1.33,0.1100000000000001,0.1200000000000001,0.0870113769896297,vowel,1.0808015431698323,153.43506379281516,2,1,0,0,1,0,1,0,0,0,0,0,1.2977963849186092,144.9812065954044,1,1,0,0,1,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,2,myself,2,S,1.35,1.51,1.33,1.51,0.15999999999999992,0.17999999999999994,0.11778303565638365,fricative,-5.940307754599824,158.02927868623863,1,0,2,0,2,0,0,0,2,0,2,0,-9.729865639519794,169.79184613662366,2,0,2,0,1,0,0,0,2,0,2,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,2,myself,3,EH1,1.51,1.58,1.51,1.58,0.07000000000000006,0.07000000000000006,0.0,vowel,-0.7775472509375989,146.30858914993593,0,0,0,0,0,0,1,0,0,0,0,0,3.2510367272097858,136.79842623121556,0,0,0,0,0,0,1,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,2,myself,4,L,1.58,1.72,1.58,1.68,0.1399999999999999,0.09999999999999987,-0.3364722366212135,sonorant,-6.23990056310401,94.08820104503303,2,1,1,0,2,1,0,0,2,0,1,1,-0.008217827763360991,137.9728972029409,2,1,1,0,2,1,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,2,myself,5,F,1.72,1.79,1.68,1.76,0.07000000000000006,0.08000000000000007,0.13353139262452257,fricative,-21.358833790848195,92.64231385461797,1,0,1,0,0,0,0,0,0,0,1,0,-27.94247992129275,150.2197147140433,1,0,1,0,1,0,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,3,of,0,AH0,1.79,1.84,1.76,1.84,0.050000000000000044,0.08000000000000007,0.47000362924573563,vowel,-6.317025418193337,148.6630031222479,1,0,0,0,1,0,0,0,0,0,0,0,-1.7996259361841078,145.09958209285514,1,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,3,of,1,V,1.84,1.9,1.84,1.93,0.05999999999999983,0.08999999999999986,0.40546510810816555,fricative,-9.697294932069429,116.52990799421872,1,0,0,0,1,0,0,0,0,0,1,0,-11.267168939742298,120.66585877824974,1,0,1,1,1,0,0,0,1,1,2,1
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,4,the,0,DH,1.9,1.93,1.93,1.97,0.030000000000000027,0.040000000000000036,0.28768207245178085,fricative,-11.362351923335929,100.95019697012579,1,0,1,0,1,0,1,0,1,0,1,0,-16.871076924377768,105.97170785948731,1,0,1,0,1,0,1,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,4,the,1,AH1,1.93,1.98,1.97,2.03,0.050000000000000044,0.05999999999999983,0.1823215567939509,vowel,-3.2423149857177784,125.95984503145782,1,0,0,0,0,0,0,0,0,0,0,0,-3.3844229378555597,122.88091496392515,1,1,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,5,pleasure,0,P,1.98,2.08,2.03,2.26,0.10000000000000009,0.22999999999999998,0.832909122935103,stop/affricate,-14.62112487291809,99.69356026645514,1,0,0,0,0,0,0,0,1,0,0,0,-19.63882189387482,104.87486594563724,1,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,5,pleasure,1,L,2.08,2.16,2.26,2.33,0.08000000000000007,0.07000000000000028,-0.13353139262451946,sonorant,-4.182076577843932,140.1318321663556,1,0,1,0,1,0,0,0,1,0,1,0,-2.4274476566550653,138.89473799872184,1,0,1,0,1,0,1,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,5,pleasure,2,EH1,2.16,2.26,2.33,2.45,0.09999999999999964,0.1200000000000001,0.18232155679395903,vowel,2.985328132959567,139.7991503333625,1,1,0,0,0,0,1,0,0,0,0,0,2.439988192316213,145.9721407498239,2,1,0,0,1,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,5,pleasure,3,ZH,2.26,2.36,2.45,2.57,0.10000000000000009,0.11999999999999966,0.1823215567939509,fricative,-3.826009189619819,147.81704086044243,2,0,1,0,2,0,1,0,1,0,2,1,-5.466625189143716,149.41733324485915,1,1,2,1,1,1,1,0,2,1,2,1
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,5,pleasure,4,ER0,2.36,2.41,2.57,2.62,0.050000000000000266,0.050000000000000266,0.0,vowel,0.8181810298752625,160.63059860039604,0,0,0,0,0,0,0,0,0,0,0,0,2.5342175342349966,163.50658992442547,0,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,6,of,0,AH0,2.41,2.52,2.62,2.8,0.10999999999999988,0.17999999999999972,0.4924764850977937,vowel,-0.6893988782265205,155.5412116094775,3,1,0,0,1,1,0,0,0,0,0,0,1.3904100945466946,170.93965236014975,3,2,0,0,1,1,0,0,1,1,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,6,of,1,V,2.52,2.61,2.8,2.9,0.08999999999999986,0.10000000000000009,0.10536051565782874,fricative,-8.976625735629007,121.29645252733292,1,0,1,1,1,0,0,0,1,1,1,0,-11.931805723451651,139.90060080324736,1,0,1,0,1,0,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,7,watching,0,W,2.61,2.71,2.9,2.96,0.10000000000000009,0.06000000000000005,-0.5108256237659907,sonorant,-3.066675380742569,115.34805394947125,1,1,1,1,1,1,1,0,1,0,1,1,-0.9017455997068229,150.7497567680693,1,0,1,0,1,0,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,7,watching,1,AA1,2.71,2.81,2.96,3.06,0.10000000000000009,0.10000000000000009,0.0,vowel,-1.6922125159249801,131.59041217220022,2,1,1,1,1,1,0,0,0,0,0,0,4.117804363178946,160.13397877716812,1,1,0,0,1,1,1,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,7,watching,2,CH,2.81,2.91,3.06,3.17,0.10000000000000009,0.10999999999999988,0.09531017980432292,stop/affricate,-10.276141490119672,151.04979931673648,1,1,2,1,2,1,0,0,2,1,2,1,-17.406702539573814,168.20746143134414,2,1,2,1,2,1,0,0,2,1,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,7,watching,3,IH0,2.91,2.94,3.17,3.21,0.029999999999999805,0.040000000000000036,0.28768207245178834,vowel,-6.698492506713424,146.44004143545394,0,0,0,0,0,0,0,0,0,0,0,0,-3.228460203938917,176.44100452338,1,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,7,watching,4,NG,2.94,3.03,3.21,3.32,0.08999999999999986,0.10999999999999988,0.2006706954621516,sonorant,-1.1089397100109752,140.32744417849534,2,1,0,0,1,0,0,0,1,1,1,1,-4.918718337221654,149.16270536137122,1,1,1,1,1,1,0,0,1,1,1,1
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,8,you,0,Y,3.03,3.07,3.32,3.37,0.040000000000000036,0.050000000000000266,0.2231435513142142,sonorant,-0.6903542455545899,142.64127762756488,1,0,1,0,1,0,1,0,1,0,1,0,-6.438627544606962,155.4918369257664,1,0,1,0,1,0,1,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,8,you,1,UW1,3.07,3.15,3.37,3.46,0.08000000000000007,0.08999999999999986,0.11778303565638108,vowel,2.885501860520259,145.01614714463227,2,1,0,0,0,0,0,0,0,0,0,0,-4.777070368092891,174.81685520856718,2,1,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,9,squirm,0,S,3.15,3.27,3.46,3.61,0.1200000000000001,0.1499999999999999,0.22314355131420832,fricative,-6.805885558760304,142.28505780871194,1,1,1,1,1,1,0,0,1,1,1,1,-15.846607112597788,236.35560258519882,1,1,2,1,2,1,1,1,2,1,1,1
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,9,squirm,1,K,3.27,3.35,3.61,3.7,0.08000000000000007,0.0900000000000003,0.11778303565638583,stop/affricate,-17.511533528188536,,0,0,0,0,0,0,0,0,0,0,0,0,-25.00978867628097,,0,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,9,squirm,2,W,3.35,3.49,3.7,3.83,0.14000000000000012,0.1299999999999999,-0.07410797215372364,sonorant,-1.6599981422585026,126.5816643659686,1,1,1,1,1,1,1,1,1,1,1,1,-1.5500965934173438,158.60830938682332,1,1,1,1,1,1,1,1,1,1,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,9,squirm,3,ER1,3.49,3.65,3.83,4.06,0.1599999999999997,0.22999999999999954,0.3629054936893683,vowel,-1.2074576824433838,133.79839234446612,3,2,1,1,2,2,0,0,1,1,1,1,-1.1783826331922151,159.5939488962264,3,2,2,2,3,2,0,0,2,2,2,2
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,ex01_default_00279,ex01_happy_00279,9,squirm,4,M,3.65,3.83,4.06,4.18,0.18000000000000016,0.1200000000000001,-0.40546510810816444,sonorant,-12.876722129191815,276.50314839277826,0,0,0,0,0,0,0,0,0,0,0,0,-7.350009821207371,227.2572786239141,0,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,0,and,0,AE1,0.15,0.34,0.19,0.23,0.19000000000000003,0.04000000000000001,-1.5581446180465497,vowel,0.30630239104544205,132.14181439446358,3,2,2,1,2,1,0,0,0,0,0,0,-9.062067545621359,141.09569001409764,1,0,0,0,1,0,1,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,0,and,1,N,0.34,0.4,0.23,0.3,0.06,0.06999999999999998,0.154150679827258,sonorant,0.844834654171106,132.0168102212399,1,0,0,0,0,0,0,0,0,0,0,0,-1.3524048757742702,137.86508439915147,2,0,0,0,0,0,0,0,0,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,0,and,2,D,0.4,0.59,0.3,0.33,0.18999999999999995,0.030000000000000027,-1.8458266904983296,stop/affricate,-10.272295878302673,115.67851165752683,0,0,0,0,0,0,0,0,0,0,0,0,-1.0413358945129916,136.57199238336992,0,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,1,deprive,0,D,0.59,0.63,0.33,0.36,0.040000000000000036,0.02999999999999997,-0.2876820724517827,stop/affricate,-10.457995033388706,106.65737711635144,1,0,1,0,1,0,0,0,1,0,1,0,-6.3871413628592135,127.23991534948247,1,0,1,0,0,0,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,1,deprive,1,IH0,0.63,0.69,0.36,0.42,0.05999999999999994,0.06,8.881784197001248e-16,vowel,1.7233946517019199,128.83896568073993,1,1,0,0,0,0,0,0,0,0,0,0,-3.8251975620082046,147.64832290154115,1,0,0,0,1,0,1,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,1,deprive,2,P,0.69,0.85,0.42,0.55,0.16000000000000003,0.13000000000000006,-0.20763936477824424,stop/affricate,-21.38212252473272,105.43633307310336,1,0,1,1,0,0,0,0,0,0,0,0,-20.742233202987496,,1,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,1,deprive,3,R,0.85,0.91,0.55,0.6,0.06000000000000005,0.04999999999999993,-0.18232155679395684,sonorant,-0.9046017666759525,131.95859384326246,1,1,1,1,1,1,1,0,1,1,1,1,-1.9234556839922368,176.55550604433495,1,0,1,0,1,0,1,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,1,deprive,4,AY1,0.91,1.08,0.6,0.73,0.17000000000000004,0.13,-0.26826398659467954,vowel,1.9492092573505582,141.69848967416297,2,1,0,0,0,0,0,0,0,0,0,0,2.231748049815883,174.38854541859354,2,1,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,1,deprive,5,V,1.08,1.15,0.73,0.78,0.06999999999999984,0.050000000000000044,-0.3364722366212098,fricative,-6.610562552118511,152.2652595481812,1,0,1,0,2,0,0,0,1,0,1,0,-6.776226761307774,163.25651870493613,1,0,1,0,1,0,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,2,myself,0,M,1.15,1.24,0.78,0.87,0.09000000000000008,0.08999999999999997,-1.221245327087673e-15,sonorant,-2.44910891420292,150.8929601274899,1,0,1,0,0,0,0,0,1,0,1,0,-3.3334094853450336,161.15667372389328,1,0,1,0,1,0,1,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,2,myself,1,AY2,1.24,1.35,0.87,0.97,0.1100000000000001,0.09999999999999998,-0.09531017980432599,vowel,1.0808015431698323,153.43506379281516,2,1,0,0,1,0,1,0,0,0,0,0,3.1023635267407967,135.4958725473714,1,1,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,2,myself,2,S,1.35,1.51,0.97,1.14,0.15999999999999992,0.16999999999999993,0.06062462181643484,fricative,-5.940307754599824,158.02927868623863,1,0,2,0,2,0,0,0,2,0,2,0,-6.167563248332534,121.39323004292389,1,0,1,0,1,0,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,2,myself,3,EH1,1.51,1.58,1.14,1.21,0.07000000000000006,0.07000000000000006,0.0,vowel,-0.7775472509375989,146.30858914993593,0,0,0,0,0,0,1,0,0,0,0,0,2.6106142437555286,146.47914932712922,0,0,1,0,1,0,1,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,2,myself,4,L,1.58,1.72,1.21,1.3,0.1399999999999999,0.09000000000000008,-0.4418327522790376,sonorant,-6.23990056310401,94.08820104503303,2,1,1,0,2,1,0,0,2,0,1,1,0.5047690684235672,132.122057850389,2,1,1,1,2,0,0,0,1,1,1,1
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,2,myself,5,F,1.72,1.79,1.3,1.39,0.07000000000000006,0.08999999999999986,0.25131442828090356,fricative,-21.358833790848195,92.64231385461797,1,0,1,0,0,0,0,0,0,0,1,0,-15.290271680037923,111.89479479042656,1,0,1,0,1,0,0,0,2,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,3,of,0,AH0,1.79,1.84,1.39,1.44,0.050000000000000044,0.050000000000000044,0.0,vowel,-6.317025418193337,148.6630031222479,1,0,0,0,1,0,0,0,0,0,0,0,-1.0101634958363976,136.85944118018713,0,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,3,of,1,V,1.84,1.9,1.44,1.51,0.05999999999999983,0.07000000000000006,0.154150679827262,fricative,-9.697294932069429,116.52990799421872,1,0,0,0,1,0,0,0,0,0,1,0,-10.92135516485071,115.07615461440274,1,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,4,the,0,DH,1.9,1.93,1.51,1.55,0.030000000000000027,0.040000000000000036,0.28768207245178085,fricative,-11.362351923335929,100.95019697012579,1,0,1,0,1,0,1,0,1,0,1,0,-22.944509756167605,120.16553164944055,1,0,1,0,1,0,1,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,4,the,1,AH1,1.93,1.98,1.55,1.6,0.050000000000000044,0.050000000000000044,0.0,vowel,-3.2423149857177784,125.95984503145782,1,0,0,0,0,0,0,0,0,0,0,0,-2.702129184392449,126.83153719543049,1,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,5,pleasure,0,P,1.98,2.08,1.6,1.75,0.10000000000000009,0.1499999999999999,0.4054651081081629,stop/affricate,-14.62112487291809,99.69356026645514,1,0,0,0,0,0,0,0,1,0,0,0,-16.69405075498019,116.66905618192224,0,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,5,pleasure,1,L,2.08,2.16,1.75,1.78,0.08000000000000007,0.030000000000000027,-0.9808292530117262,sonorant,-4.182076577843932,140.1318321663556,1,0,1,0,1,0,0,0,1,0,1,0,1.4277975940507635,165.9998549903562,1,0,1,0,1,0,0,0,1,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,5,pleasure,2,EH1,2.16,2.26,1.78,1.86,0.09999999999999964,0.08000000000000007,-0.22314355131420527,vowel,2.985328132959567,139.7991503333625,1,1,0,0,0,0,1,0,0,0,0,0,3.9628094826359463,145.14463371600021,1,0,0,0,1,0,1,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,5,pleasure,3,ZH,2.26,2.36,1.86,1.98,0.10000000000000009,0.11999999999999988,0.18232155679395273,fricative,-3.826009189619819,147.81704086044243,2,0,1,0,2,0,1,0,1,0,2,1,-5.87006434282999,127.32565024958564,2,0,2,0,2,0,1,0,2,0,1,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,5,pleasure,4,ER0,2.36,2.41,1.98,2.05,0.050000000000000266,0.06999999999999984,0.33647223662120523,vowel,0.8181810298752625,160.63059860039604,0,0,0,0,0,0,0,0,0,0,0,0,1.6136257327602035,139.11001352352318,1,1,0,0,1,0,0,0,1,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,6,of,0,AH0,2.41,2.52,2.05,2.1,0.10999999999999988,0.050000000000000266,-0.7884573603642637,vowel,-0.6893988782265205,155.5412116094775,3,1,0,0,1,1,0,0,0,0,0,0,2.0548225465790306,126.36095162155526,1,0,0,0,0,0,0,0,0,0,0,0
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,ex01_default_00279,ex01_sad_00279,6,of,1,V,2.52,2.61,2.1,2.21,0.08999999999999986,0.10999999999999988,0.2006706954621516,fricative,-8.976625735629007,121.29645252733292,1,0,1,1,1,0,0,0,1,1,1,0,-6.692364832561715,118.15173039672587,2,1,1,1,1,1,0,0,1,1,1,0
